JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
1|1|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat1|normal|0|1|1|00:00:00
56|56|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat72|normal|0|56|8|00:00:00
54|54|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|2|4|4|2800Mn|00:18:00|sxat[10,34]|normal|0|54|8|00:00:00
53|53|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat7|normal|0|53|6|00:00:00
51|51|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|5|10|10|2800Mn|00:18:00|sxat[67-71]|normal|0|51|8|00:00:00
50|50|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat66|normal|0|50|8|00:00:00
48|48|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|5|10|10|2800Mn|00:18:00|sxat[61-65]|normal|0|48|8|00:00:00
45|45|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[57-60]|normal|0|45|8|00:00:00
44|44|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat56|normal|0|44|3|00:00:00
42|42|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat55|normal|0|42|8|00:00:00
39|39|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[51-54]|normal|0|39|8|00:00:00
38|38|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat50|normal|0|38|5|00:00:00
36|36|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[46-49]|normal|0|36|8|00:00:00
35|35|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat45|normal|0|35|8|00:00:00
