JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
55|55|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:12|2021-01-01T00:03:13|00:03:01|0:0|COMPLETED|1|24|2|2800Mn|00:04:00|v72|normal|0|55|8|00:00:00
49|49|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:12|2021-01-01T00:03:33|00:03:21|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v66|normal|0|49|8|00:00:00
28|28|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:11|2021-01-01T00:03:40|00:03:29|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v45|normal|0|28|8|00:00:00
4|4|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:02|2021-01-01T00:03:46|00:03:44|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v21|normal|0|4|8|00:00:00
10|10|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:02|2021-01-01T00:04:00|00:03:58|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v27|normal|0|10|8|00:00:00
22|22|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:11|2021-01-01T00:04:18|00:04:07|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v39|normal|0|22|8|00:00:00
7|7|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:02|2021-01-01T00:04:18|00:04:16|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v24|normal|0|7|8|00:00:00
13|13|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:11|2021-01-01T00:04:22|00:04:11|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v30|normal|0|13|8|00:00:00
37|37|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:12|2021-01-01T00:04:28|00:04:16|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v54|normal|0|37|8|00:00:00
46|46|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:12|2021-01-01T00:04:50|00:04:38|0:0|COMPLETED|1|24|2|2800Mn|00:06:00|v63|normal|0|46|8|00:00:00
