JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
1000|1000|micro|urgent|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:15|2021-01-01T00:10:37|00:10:22|0:0|COMPLETED|2|4|4|2800Mn|00:11:00|sxat[23,40]|normal|0|1000|8|00:00:00
2000|2000|micro|urgent|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:15|2021-01-01T00:10:37|00:10:22|0:0|COMPLETED|1|2|2|2800Mn|00:11:00|sxat45|normal|0|2000|1|00:00:00
2001|2001|micro|normal|account1|users|100|user1|1001|2021-01-01T00:08:10|2021-01-01T00:08:10|2021-01-01T00:11:53|2021-01-01T00:16:54|00:05:01|0:0|COMPLETED|1|2|2|2800Mn|00:06:00|sxat45|normal|0|2001|1|00:00:00
2004|2004|micro|normal|account1|users|100|user1|1001|2021-01-01T00:08:10|2021-01-01T00:08:10|2021-01-01T00:11:53|2021-01-01T00:16:57|00:05:04|0:0|COMPLETED|1|2|2|2800Mn|00:06:00|sxat40|normal|0|2004|1|00:00:00
2005|2005|micro|normal|account1|users|100|user1|1001|2021-01-01T00:08:10|2021-01-01T00:08:10|2021-01-01T00:11:53|2021-01-01T00:16:58|00:05:05|0:0|COMPLETED|1|2|2|2800Mn|00:06:00|sxat40|normal|0|2005|2|00:00:00
2007|2007|micro|normal|account1|users|100|user1|1001|2021-01-01T00:08:10|2021-01-01T00:08:10|2021-01-01T00:11:53|2021-01-01T00:17:00|00:05:07|0:0|COMPLETED|1|2|2|2800Mn|00:06:00|sxat40|normal|0|2007|1|00:00:00
2008|2008|micro|normal|account1|users|100|user1|1001|2021-01-01T00:08:10|2021-01-01T00:08:10|2021-01-01T00:11:53|2021-01-01T00:17:01|00:05:08|0:0|COMPLETED|1|2|2|2800Mn|00:06:00|sxat40|normal|0|2008|3|00:00:00
56|56|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat72|normal|0|56|8|00:00:00
54|54|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|2|4|4|2800Mn|00:18:00|sxat[70-71]|normal|0|54|8|00:00:00
53|53|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat69|normal|0|53|6|00:00:00
