JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
52|52|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:14|2021-01-01T00:01:46|00:01:32|0:0|COMPLETED|1|24|2|2800Mn|00:03:00|v64|normal|0|52|8|00:00:00
7|7|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:02|2021-01-01T00:03:06|00:03:04|0:0|COMPLETED|1|24|2|2800Mn|00:04:00|v19|normal|0|7|8|00:00:00
31|31|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:13|2021-01-01T00:03:24|00:03:11|0:0|COMPLETED|1|24|2|2800Mn|00:04:00|v43|normal|0|31|8|00:00:00
37|37|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:13|2021-01-01T00:03:28|00:03:15|0:0|COMPLETED|1|24|2|2800Mn|00:04:00|v49|normal|0|37|8|00:00:00
28|28|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:12|2021-01-01T00:04:12|00:04:00|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v40|normal|0|28|8|00:00:00
34|34|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:13|2021-01-01T00:04:16|00:04:03|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v46|normal|0|34|8|00:00:00
40|40|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:14|2021-01-01T00:04:29|00:04:15|0:0|COMPLETED|1|24|2|2800Mn|00:05:00|v52|normal|0|40|8|00:00:00
10|10|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:02|2021-01-01T00:04:32|00:04:30|0:0|COMPLETED|1|24|2|2800Mn|00:06:00|v22|normal|0|10|8|00:00:00
19|19|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:00:12|2021-01-01T00:05:02|00:04:50|0:0|COMPLETED|1|24|2|2800Mn|00:06:00|v31|normal|0|19|8|00:00:00
64|64|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:00|2021-01-01T00:00:00|2021-01-01T00:03:34|2021-01-01T00:05:20|00:01:46|0:0|COMPLETED|1|24|2|2800Mn|00:03:00|v49|normal|0|64|8|00:00:00
