JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
1|1|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v1|normal|0|1|1|00:00:00
24|24|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|2|48|4|2800Mn|00:18:00|v[23-24]|normal|0|24|8|00:00:00
23|23|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v22|normal|0|23|4|00:00:00
18|18|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v21|normal|0|18|8|00:00:00
17|17|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v20|normal|0|17|8|00:00:00
15|15|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|3|72|6|2800Mn|00:18:00|v[17-19]|normal|0|15|8|00:00:00
14|14|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v16|normal|0|14|7|00:00:00
12|12|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|3|72|6|2800Mn|00:18:00|v[13-15]|normal|0|12|8|00:00:00
10|10|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v12|normal|0|10|1|00:00:00
9|9|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|4|96|8|2800Mn|00:18:00|v[8-11]|normal|0|9|8|00:00:00
6|6|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|4|96|8|2800Mn|00:18:00|v[4-7]|normal|0|6|8|00:00:00
3|3|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v3|normal|0|3|8|00:00:00
26|26|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v22|normal|0|26|3|00:00:00
25|25|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v22|normal|0|25|1|00:00:00
19|19|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v12|normal|0|19|1|00:00:00
16|16|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v16|normal|0|16|1|00:00:00
13|13|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v12|normal|0|13|1|00:00:00
11|11|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v12|normal|0|11|2|00:00:00
7|7|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v1|normal|0|7|1|00:00:00
5|5|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v1|normal|0|5|2|00:00:00
4|4|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:50|2021-01-01T00:17:30|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v1|normal|0|4|1|00:00:00
59|59|micro|urgent|account1|users|100|user1|1001|2021-01-01T00:01:00|2021-01-01T00:01:00|2021-01-01T00:01:06|2021-01-01T00:17:46|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v2|normal|0|59|8|00:00:00
2|2|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:34:16|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:19:00|v2|normal|0|2|8|00:16:51
42|42|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:37|2021-01-01T00:34:17|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v22|normal|0|42|8|00:00:00
38|38|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:37|2021-01-01T00:34:17|00:16:40|0:0|COMPLETED|1|24|2|2800Mn|00:18:00|v21|normal|0|38|5|00:00:00
36|36|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:37|2021-01-01T00:34:17|00:16:40|0:0|COMPLETED|4|96|8|2800Mn|00:18:00|v[16,20,23-24]|normal|0|36|8|00:00:00
